Tipo;Codigo Topaz;Agencia;Dirección;Area;Distrito;Provincia;Departamento;Zona
Agencia;523;El Tambo;Av. Mariscal castilla 1259 ;503.64 m2;El Tambo;Huancayo;Junin;Centro
Matriz;201;El Tambo Centro;Av. Mariscal Castilla 1882 – cdra. 18, Distrito del Tambo;297.08 m2;El Tambo;Huancayo;Junin;Centro
Agencia;320;El Valle;Av. Pachacutec Mz. “BI” Lote 16 – Comunidad de Jicamarca – Anexo 22  ;456.54 m2;San Antonio;Huarochiri;Lima;Lima
Matriz;454;Faucett;Av. Elmer Faucett N° 306, 310 y 314. Urb. La Colonial;742.17 m2;Callao;Callao;Lima;Lima
Agencia;816;Ferreñafe;Pueblo tradicional Ferreñafe esquina calle Carmona y Calle Grau MZ 117 Lote 1;411.36 m2;Ferreñafe;Lambayeque;Lambayeque;Norte
Matriz;661;Gamarra Matriz;Av. Humbolt n° 1609 - la victoria;1480.95 m2;La Victoria;Lima;Lima;Lima
Agencia;552;Grau;Av. Manco capac 201 -jr raymondi-la victoria;512.57 m2;La Victoria;Lima;Lima;Lima
Matriz;532;Huachipa Matriz;Mza. A lote. 8 urb. El paraiso del p.huachipa (perten. A la parcel. Fundo la estrella);674.55 m2;Huachipa;Lima;Lima;Lima
Matriz;490;Huacho;Av. Miguel grau seminario 147;333.19 m2;Huacho;Huaura;Lima;Lima
Agencia;177;Huamachuco;Jr. SAN MARTIN 700;449 m2;Huamachuco;Trujillo;La Libertad;Norte
OE;OE;Huamachuco;SECTOR 1 MZ 129 LOTE 6 CENTRO POBLANDO HUAMACHUCO;70 m2;Huamachuco;Sanchez Carrión;La Libertad;Norte
Agencia;238;Huamanga;Jr. Garcilazo de la Vega 318;304.60 m2;Huamanga;Huamanga;Ayacucho;Sur
Agencia;135;Huancabamba;Av. Centenario 101-Barrios Altos de la Paloma;171.46 m2;Huancabamba;Huancabamba;Piura;Norte
Agencia;166;Huancane;Jr. Triunfo no. 101 ;381.25 m2;Huancane;Huancane;Puno;Sur
Agencia;107;Huancavelica;AV.MANCHEGO MUÑOZ 298 ;253.75 m2;Huancavelica;Huancavelica;Huancavelica;Sur
Agencia;113;Huancayo;Av. Giraldez 288 - Cercado de Huancayo;299.92 m2;Huancayo;Huancayo;Junin;Centro
Matriz;475;Huancayo Matriz;Av. Paseo de la Breña 206;792.21 m2;Huancayo;Huancayo  ;Junin;Centro
Agencia;507;Huandoy;Av. Naranjal 1415 Parque Naranjal 2°etapa Lote 15 Mz I;715 m2;Los Olivos;Lima;Lima;Lima
Agencia;82;Huanta;Av. San martin # 214;401.05 m2;Huanta;Huanta;Ayacucho;Sur
Agencia;528;Huanuco;Jr. 28 de Julio 1038(Media cdra Plaza de Armas);368.53 m2;Huanuco;Huanuco;Huanuco;Centro
Matriz;162;Huanuco Matriz;Calle huánuco 651-653, huánuco, huánuco, huánuco;390 m2;Huanuco;Huanuco;Huanuco;Centro
Agencia;529;Huaral;Av. Luis colan 110 ;637.82 m2;Huaral;Huaral;Lima;Lima
Agencia;487;Huaraz;;512.34 m2;Huaraz;Huaraz;Ancash;Norte
Agencia;8;Huaraz Plaza;Jr. José sucre  nº 659 ;394.06 m2;Huaraz;Huaraz;Ancash;Norte
Agencia;127;Huari;Jr. Ancash nº 920-parque vigil, barrio san bartolomé;126.46 m2;Huari;Huari;Ancash;Norte
Agencia;197;Huarmey;Jr los andes nro 167 (antes programa de vivienda p.v.h.u. zona centro mz b lt 39);337.03 m2;Huarmey;Huarmey;Ancash ;Norte
Agencia;28;Huaycan ;Av 15 de julio lt. 11 uvc 3 zona a ;359.62 m2;Ate Vitarte;Lima;Lima;Lima
Matriz;466;Huaycan Matriz;PJ Proyecto Especial Huaycan, Lte. 29, 15 de julio  Zona B;433.48 m2;Ate Vitarte;Lima;Lima;Lima
Agencia;800;Hunter;M. I lote 16, urb. La colina i;414.98 m2;Jacobo Hunter;Arequipa;Arequipa;Sur
Matriz;178;Ica Matriz;Calle Libertad 141 - Ica, Distrito, Provincia y  Departamento de Ica;662.08 m2;Ica;Ica;Ica;Sur
Matriz;253;Ilave;Jr. 2 de Mayo N° 335-337  Barrio Santa Barbará;427.04 m2;Ilave;Puno;Puno;Sur
OI;OI;Illimo;Av.panamericana norte 817 ;280 m2;Illimo;Lambayeque;Lambayeque;Norte
Matriz;526;Ilo Matriz;Jr. Zepita 419 y 423;428.29 m2;Ilo;Ilo;Moquegua;Sur
Agencia;175;Independencia;Av. Las violetas nº 700-702, urb. Las violetas (zona e, mz.f. Lote 11);302.84 m2;Independencia;Lima;Lima;Lima
Matriz;472;Independencia Matriz;Fte Jr Gerardo Unger o Av Tupac Amaru 7197 Urb. Mesa redonda 1era Etapa;682.67 m2;Smp;Lima;Lima;Lima
Agencia;508;Iquitos;Jr. Napo con Jr. Raimondi 200-240 (frente P. Armas);438.76 m2;Iquitos;Maynas;Loreto;Oriente
